GEOID,POPULATION
AFG,37172386
ALB,2866376
DZA,42228429
ASM,55465
AND,77006
AGO,30809762
ATG,96286
ARG,44494502
ARM,2951776
ABW,105845
AUS,24992369
AUT,8847037
AZE,9942334
BHS,385640
BHR,1569439
BGD,161356039
BRB,286641
BLR,9485386
BEL,11422068
BLZ,383071
BEN,11485048
BMU,63968
BTN,754394
BOL,11353142
BIH,3323929
BWA,2254126
BRA,209469333
VGB,29802
BRN,428962
BGR,7024216
BFA,19751535
BDI,11175378
CPV,543767
KHM,16249798
CMR,25216237
CAN,37058856
CYM,64174
CAF,4666377
TCD,15477751
CHL,18729160
CHN,1392730000
COL,49648685
COM,832322
COD,84068091
COG,5244363
CRI,4999441
CIV,25069229
HRV,4089400
CUB,11338138
CUW,159849
CYP,1189265
CZE,10625695
DNK,5797446
DJI,958920
DMA,71625
DOM,10627165
ECU,17084357
EGY,98423595
SLV,6420744
GNQ,1308974
ERI,
EST,1320884
SWZ,1136191
ETH,109224559
FRO,48497
FJI,883483
FIN,5518050
FRA,66987244
PYF,277679
GAB,2119275
GMB,2280102
GEO,3731000
DEU,82927922
GHA,29767108
GIB,33718
GRC,10727668
GRL,56025
GRD,111454
GUM,165768
GTM,17247807
GIN,12414318
GNB,1874309
GUY,779004
HTI,11123176
HND,9587522
HKG,7451000
HUN,9768785
ISL,353574
IND,1352617328
IDN,267663435
IRN,81800269
IRQ,38433600
IRL,4853506
IMN,84077
ISR,8883800
ITA,60431283
JAM,2934855
JPN,126529100
JOR,9956011
KAZ,18276499
KEN,51393010
KIR,115847
PRK,25549819
KOR,51635256
XKX,1845300
KWT,4137309
KGZ,6315800
LAO,7061507
LVA,1926542
LBN,6848925
LSO,2108132
LBR,4818977
LBY,6678567
LIE,37910
LTU,2789533
LUX,607728
MAC,631636
MDG,26262368
MWI,18143315
MYS,31528585
MDV,515696
MLI,19077690
MLT,483530
MHL,58413
MRT,4403319
MUS,1265303
MEX,126190788
FSM,112640
MDA,3545883
MCO,38682
MNG,3170208
MNE,622345
MAR,36029138
MOZ,29495962
MMR,53708395
NAM,2448255
NRU,12704
NPL,28087871
NLD,17231017
NCL,284060
NZL,4885500
NIC,6465513
NER,22442948
NGA,195874740
MKD,2082958
MNP,56882
NOR,5314336
OMN,4829483
PAK,212215030
PLW,17907
PAN,4176873
PNG,8606316
PRY,6956071
PER,31989256
PHL,106651922
POL,37978548
PRT,10281762
PRI,3195153
QAT,2781677
ROU,19473936
RUS,144478050
RWA,12301939
WSM,196130
SMR,33785
STP,211028
SAU,33699947
SEN,15854360
SRB,6982084
SYC,96762
SLE,7650154
SGP,5638676
SXM,40654
SVK,5447011
SVN,2067372
SLB,652858
SOM,15008154
ZAF,57779622
SSD,10975920
ESP,46723749
LKA,21670000
KNA,52441
LCA,181889
MAF,37264
VCT,110210
SDN,41801533
SUR,575991
SWE,10183175
CHE,8516543
SYR,16906283
TJK,9100837
TZA,56318348
THA,69428524
TLS,1267972
TGO,7889094
TON,103197
TTO,1389858
TUN,11565204
TUR,82319724
TKM,5850908
TCA,37665
TUV,11508
UGA,42723139
UKR,44622516
ARE,9630959
GBR,66488991
USA,327167434
URY,3449299
UZB,32955400
VUT,292680
VEN,28870195
VNM,95540395
VIR,106977
PSE,4569087
YEM,28498687
ZMB,17351822
ZWE,14439018
